"record_id","artist","title","date","medium","discipline","dimensions","funding_source","location","street","city","state","zipcode","lat","lng","description","image_url","detail_url","date_modified"

"317","Vern Luce","Untitled","1983","Painted steel","sculpture","a: 93 "" x 40 "" x 64 "", b: 76.5 "" x 31 "" x 29 "", c: 48.5 "" x 85 "" x 20 ""","CETA","MacLeay Park","NW 29th Ave and Upshur St","Portland","OR","","45.536000000000001","-122.71104010000001","Three geometric abstract steel sculptures are placed in a raised landscaped area in and located directly south of the Thurman Street Bridge.  In siting the work, the artist wanted the sculptures to respond both to the surrounding greenspace (thus, the bright red color) and to the broad horizontal expanse of the Thurman Street bridge (thus, the vertical nature of the sculptures).  At the time the pieces were installed, Vern Luce lived near Lower MacLeay Park and selected the site both for its visual beauty and its proximity to his home.","http://data.racc.org/pa_inventory/0240/0240thumb.jpg","http://racc.org/public-art/search/?recid=317.211","2012-02-23 00:00:00"

"359","Bruce West","BW1","1978","Cor-ten steel","sculpture","6' x 30' x 20'","CETA 1976-77","Lair Hill Park","3000 SW Barbur Blvd","Portland","OR","97201","45.501564199999997","-122.6813302","Bruce West is known for his highly original metal sculptures that he has been creating for over four decades. In describing his work West states, ""My sculptures don't involve 'issues,' other than the mysterious and at times miraculous process of how different shapes and forms can come together to form a single composition."" His work can be seen throughout the United States in public galleries and private collections. He taught sculpture at Lewis and Clark for 34 years where he was the head of the department.","http://data.racc.org/pa_inventory/0098/0098thumb.jpg","http://racc.org/public-art/search/?recid=359.207","2012-02-28 00:00:00"

"362","Jerry Allen","Disc #4","1979","Cast silicon bronze","sculpture","diameter: 4 1/2'","CETA 1977-78","Peninsula Park","6222 N. Albina  Avenue","Portland","OR","97217","45.568221899999998","-122.67487199999999","","http://data.racc.org/pa_inventory/0102/0102thumb.jpg","http://racc.org/public-art/search/?recid=360.76","2012-02-23 00:00:00"

"470","Carl Morris","S77 VII","1977","Acrylic on linen","painting","72 "" x 72 ""","MAC 1978-79","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512731000000002","-122.67911700000001","Many critics consider the painter Carl Morris to be one of Oregon's most historically important abstract expressionists. With a background in figurative painting, he pursued the exploration of mood, thought, and feeling through abstract works. His abstract paintings were generally based on nature, poetry, scenery, and his never ending curiosity.  Among his many accomplishments, he and his wife, Hilda Morris, received the prestigious Governor's Art Award in Oregon in 1985.

Abstract Expressionism often describes a general attitude rather than a set of concrete facts and artists working in this style generally place great value on spontaneous improvisation and individuality.  Their work may appear to have been created by accident or chance, but it is always thoughtful and can even be highly planned.","http://data.racc.org/pa_inventory/0286/0286thumb.jpg","http://racc.org/public-art/search/?recid=470.135","2010-02-18 00:00:00"

"585","John Rogers","118 Modules","1979","Slip-cast white stoneware","sculpture","4' x 23' x 5'","CETA","Smart Park (SW 10th)","750 SW 10th Avenue","Portland","OR","97205","45.519575499999988","-122.6823383","This is John Rogers' first public art commission. He has since created numerous large-scale public art projects from Alaska to Florida. A Portland native, Rogers studied ceramics at Portland State University, and currently works with diverse materials such as metals, glass, ceramics, stone, cement, plastics, and light. 

""I like to mix qualities found in the organic world with the technical world. My art relies on a firm understanding of the interplay between art, architecture and engineering. From these disciplines I develop sculptural forms that create a dialogue and tension with the architecturally defined space, as well as the surroundings.""","http://data.racc.org/pa_inventory/0422/0422thumb.jpg","http://racc.org/public-art/search/?recid=585.330","2012-02-21 00:00:00"

"617","Charles Kibby","Uroboros","1979","Cast concrete","sculpture","sculpture: 48 "" x 14 "" x 72 "", base: 24 "" x 20 "" x 20 ""","MAC 1979-80","Westmoreland Park","SE 22nd Ave. and SE Rex St.","Portland","OR","97202","45.470452900000019","-122.6423886","Uroboros, is the name for an ancient Egyptian and Greek symbol that depicts a snake that bites its own tail. The uroboros symbol has many meanings including the infinite cycles of destruction and recreation of energy. This sculpture is a modern depiction of this ancient theme.","http://data.racc.org/pa_inventory/0459/0459thumb.jpg","http://racc.org/public-art/search/?recid=617.191","2011-07-21 00:00:00"

"622","Connie Earnshaw","St. John's Triptych","1980","Earthenware","ceramics","overall: 30 "" x 30 ""","MAC 1979-80","St. John's Library","7510 N Charleston Ave.","Portland","OR","97203","45.589981999999999","-122.751052","These tiles by Connie Earnshaw depict St. John's Bridge. Earnshaw has been a ceramic artist in Portland for many years, and her work focuses on themes of nature and the senses, including figures along with tree, leaf and animal motifs. She has found inspiration in her garden and pets as well as the greater world of nature. She enjoys playful experimentation with shape and color, and often uses ceramics as a medium for drawing and painting. As well as ceramics, she draw and paints watercolors, and experiments with textiles and multimedia works.","http://data.racc.org/pa_inventory/0465/0465thumb.jpg","http://racc.org/public-art/search/?recid=622.156","2012-02-23 00:00:00"

"632","Hank Kowert","Dark Wave","1980","Oil on canvas","painting","30 "" x 41 ""","","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512613700000003","-122.67845819999999","Hank Kowert, originally from Chicago, lived and painted in Oregon most of his life. He was know for his unique palette and style. His paintings can be found in private and public collections across the state.","http://data.racc.org/pa_inventory/0475/0475thumb.jpg","http://racc.org/public-art/search/?recid=632.151","2011-08-25 00:00:00"

"633","Manuel Izquierdo","Monument #1","1965","Welded steel","sculpture","97 "" x 36 "" x 36 ""","","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512610100000003","-122.67846470000001","The artist Manuel Izquierdo conceived the base of this sculpture as a type of altar. The central form can be interpreted as a head or a flower.  Light falls onto this form through the leaf-like opening in the ""roof"" or ""canopy"".  Izquierdo has described this sculpture as a monument to the dead, inspired by the those lost in the Vietnam War.","http://data.racc.org/pa_inventory/0476/0476thumb.jpg","http://racc.org/public-art/search/?recid=633.175","2012-04-06 00:00:00"

"762","Bruce West","Sculpture No. 1","1963","Mild steel","sculpture","15' x 8'","Gift of Sarah Blodgett Platt","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512610100000003","-122.67846470000001","This sculpture by artist Bruce West was created early in West's career while he was working as an artist-in-residence at the now closed Mount Angel College in Mt. Angel, Oregon. The piece was hand-hammered and welded by the artist in a small wood shed on the college campus?""its dimensions matching those of the shed wall almost exactly. In 1964 the piece was selected to be included in an annual exhibition at the Portland Art Museum featuring artwork by Oregon artists. During the show the sculpture was purchased by collector Sarah Blodgett Platt who generously donated it to the Keller Auditorium in 1968.","http://data.racc.org/pa_inventory/0619/0619thumb.jpg","http://racc.org/public-art/search/?recid=762.162","2012-02-23 00:00:00"

"763","Gregory Grenon","Young Girl","1984","Oil and acrylic on plexiglass","painting","66 "" x 57 ""","Percent for Art - Civic Auditorium","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512613700000003","-122.67845819999999","Gregory Grenon is widely recognized for his expressionist paintings of women.  His emotionally charged paintings command attention with their bold gestures and vivid colors.  About Young Girl he writes: ""I wanted to do a full-face figure, one that came right out of the picture. I first got the idea to paint that way when I was living in Chicago, and would go to see old Bette Davis movies.  Her whole face would take up the screen.  I was especially happy when this painting was placed in the Civic Auditorium, where a younger audience could be exposed to my work.  I'm always excited when young people see my work.""

Grenon, who moved to Portland in the 1970's, considers his most valuable artistic learning experience to be his time spent as a printmaking apprentice at Landfall Press in Chicago.  He also studied at Wayne State University and the Society of Arts and Crafts, both in Detroit, Michigan.","http://data.racc.org/pa_inventory/0620/0620thumb.jpg","http://racc.org/public-art/search/?recid=763.175","2010-09-24 00:00:00"

"764","Alice Van Leunen, Susanna Kuo, Nexus (Susanna Kuo and Alice Van Leunen)","Scherzo in B Sharp Major for Zither and Castanets","1984","Cotton paper","fiber","overall: 12 "" x 120 ""","Percent for Art - Civic Auditorium","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512613700000003","-122.67845819999999","This abstract artwork is made entirely of paper.  The artists, members of the collaborative design group NEXUS, made the honey-comb-like structure by folding the paper and then incorporated colored and foiled confetti to add a playful and festive element to the work.

The artists describe the work this way:  ""It was meant to be a light hearted commentary on music.  B sharp is an impossible chord to play for the Zither and Castanets .... it was meant to be humorous.""","http://data.racc.org/pa_inventory/0621/0621thumb.jpg","http://racc.org/public-art/search/?recid=764.151","2011-06-23 00:00:00"

"765","Frederick Littman","Herbert Weiskopf","ca. 1970","Bronze","plaque","overall: 40 "" x 20 ""","","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512610100000003","-122.67846470000001","This piece, executed by Frederick Littman, commemorates Austrian conductor Herbert Weiskopf who served as the second general director of the Portland Opera from 1966 until his death in 1970. Littman was an influential and prolific Portland artist who's artwork has been described as ""romantic, impressionistic, and figuratively based,"" a style that is well represented in this plaque.","http://data.racc.org/pa_inventory/0622/0622thumb.jpg","http://racc.org/public-art/search/?recid=765.145","2012-02-23 00:00:00"

"766","Jack McLarty","Man's Past and the Garden of Possibilities","1971","Acrylic on panel","painting","diameter: 96 ""","Percent for Art - Civic Auditorium","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512610100000003","-122.67846470000001","This painting, Man's Past and the Garden of Possibilities, is designed to fold open to reveal different painted surfaces; the outer painting represents man's past, it is painted very darkly with clouds and dark figures.  When the inner painting is opened up it reveals a blooming garden representing man's future. The artist Jack McClarty says: ""It's a kind of space garden, a garden of the future. I was playing with the themes of dark and light, good and bad, past and future.""

This was McClarty's first work in acrylic, a change from the oil paint which he had used up to that point.","http://data.racc.org/pa_inventory/0623/0623thumb.jpg","http://racc.org/public-art/search/?recid=766.163","2012-02-28 00:00:00"

"767","B. J. Gardner","Banded Mirage","20th century","Oil on canvas","painting","25 "" x 53 ""","Gift/Donation from L. Lauha","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512613700000003","-122.67845819999999","","http://data.racc.org/pa_inventory/0624/0624thumb.jpg","http://racc.org/public-art/search/?recid=767.156","2010-12-29 00:00:00"

"768","James McClintock","Memory from the Shore","20th century","Oil on canvas","painting","72 "" x 60 ""","Gift of Mrs. William Haseltine","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512613700000003","-122.67845819999999","","http://data.racc.org/pa_inventory/0625/0625thumb.jpg","http://racc.org/public-art/search/?recid=768.146","2011-02-15 00:00:00"

"770","Frederick Littman","Mistral No. 3","1984","Metal","sculpture","74 "" x 42 ""","","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512610100000003","-122.67846470000001","","http://data.racc.org/pa_inventory/0627/0627thumb.jpg","http://racc.org/public-art/search/?recid=770.157","2013-04-22 00:00:00"

"771","Frederick Littman","Jacques Gershkovitch","late 20th century","Bronze","sculpture","57 "" x 17 ""","","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512610100000003","-122.67846470000001","","http://data.racc.org/pa_inventory/0628/0628thumb.jpg","http://racc.org/public-art/search/?recid=771.151","2012-02-28 00:00:00"

"772","George Johanson","Magician's Screen","1971","Oil on canvas","painting","108 "" x 172 ""","Percent for Art - Civic Auditorium","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512731000000002","-122.67911700000001","The theme of this painting relates to theater and landscape in an allegorical sense.  The screen-like structure refers to the stage and the curtain which rises to reveal the drama.

Though all of the figures in the painting relate to the theater, they have other references as well.  The large head at the left is the ""director-observer"".  In the next panel a figure appears to be leaping in front of a form which is both spotlight and moon.  In the center panel a series of profiles represents the audience, but can also be seen as a single head in movement.

The next panel reveals forms symbolizing clouds which drift from the painting's interior out toward the spectator.  And the last panel shows a group of figures representing acrobats or tumblers, who also stand to represent the inter-relatedness of people.","http://data.racc.org/pa_inventory/0629/0629thumb.jpg","http://racc.org/public-art/search/?recid=772.135","2010-02-18 00:00:00"

"773","Sally Haley","In Reflection","ca. 1960","Oil on canvas","painting","63 "" x 51 ""","Gift/Donation from Helen Libonati & Belle Canon","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512731000000002","-122.67911700000001","","http://data.racc.org/pa_inventory/0630/0630thumb.jpg","http://racc.org/public-art/search/?recid=773.136","2010-07-19 00:00:00"

